frame_number,capture_ts_ms,decode_ts_ms
465,1442186.441,14075.560
466,1442202.896,14091.586
467,1442219.898,14108.985
468,1442236.267,14124.833
469,1442252.906,14142.067
470,1442269.759,14158.916
471,1442286.582,14175.091
472,1442303.378,14192.822
473,1442319.818,14208.426
474,1442336.597,14225.544
475,1442353.304,14242.504
476,1442369.748,14258.812
477,1442386.376,14274.779
478,1442403.098,14291.924
479,1442419.737,14309.001
480,1442436.518,14325.989
481,1442453.291,14341.607
482,1442470.224,14358.842
483,1442486.488,14375.644
484,1442503.248,14391.572
485,1442519.853,14408.120
486,1442536.580,14425.153
487,1442553.249,14442.332
488,1442569.884,14458.191
489,1442586.612,14475.551
490,1442603.286,14491.970
491,1442620.024,14509.517
492,1442636.910,14525.744
493,1442653.345,14541.564
494,1442670.034,14559.393
495,1442686.726,14575.485
496,1442703.374,14592.304
497,1442720.383,14609.390
498,1442736.769,14625.126
499,1442753.417,14642.237
500,1442770.155,14659.177
501,1442786.820,14676.271
502,1442803.470,14692.496
503,1442820.199,14709.210
504,1442836.872,14725.241
505,1442853.522,14742.271
506,1442870.240,14759.376
507,1442887.156,14776.746
508,1442903.621,14792.382
509,1442920.322,14809.459
510,1442936.920,14825.161
511,1442953.611,14842.350
512,1442970.611,14859.261
513,1442987.399,14876.409
514,1443003.830,14892.342
515,1443020.409,14909.239
516,1443037.028,14926.251
517,1443053.751,14942.246
518,1443070.400,14959.116
519,1443087.130,14976.264
520,1443103.817,14992.767
521,1443120.494,15009.412
522,1443137.139,15025.856
523,1443154.164,15043.036
524,1443170.544,15059.971
525,1443187.471,15075.853
526,1443203.939,15093.023
527,1443220.855,15110.107
528,1443237.331,15125.822
529,1443253.939,15142.883
530,1443270.637,15159.948
531,1443287.297,15175.960
532,1443304.014,15192.901
533,1443320.653,15213.851
534,1443337.378,15226.368
535,1443354.018,15243.433
536,1443370.740,15259.272
537,1443387.420,15276.318
538,1443404.126,15296.545
539,1443421.125,15310.439
540,1443437.496,15326.268
541,1443454.169,15343.747
542,1443471.315,15360.518
543,1443487.592,15376.460
544,1443504.366,15393.288
545,1443521.198,15410.216
546,1443537.794,15426.348
547,1443554.334,15443.221
548,1443570.915,15460.148
549,1443587.646,15476.027
550,1443604.277,15493.577
551,1443621.003,15510.982
552,1443637.634,15526.561
553,1443654.432,15542.686
554,1443671.091,15559.734
555,1443688.071,15577.165
556,1443704.484,15593.080
557,1443721.592,15609.849
558,1443737.892,15626.808
559,1443754.542,15643.955
560,1443771.209,15659.806
561,1443787.858,15676.891
562,1443804.576,15693.158
563,1443821.311,15710.136
564,1443838.030,15726.943
565,1443854.662,15744.172
566,1443871.318,15759.786
567,1443887.986,15776.832
568,1443904.678,15794.127
569,1443921.343,15809.653
570,1443938.088,15827.332
571,1443954.688,15843.368
572,1443971.431,15860.244
573,1443988.076,15877.572
574,1444004.939,15893.484
575,1444021.679,15910.406
576,1444038.184,15927.343
577,1444054.804,15943.130
578,1444071.526,15960.184
579,1444088.204,15977.298
580,1444104.853,15993.040
581,1444121.555,16010.478
582,1444138.217,16027.415
583,1444154.943,16044.240
584,1444171.617,16060.037
585,1444188.548,16077.381
586,1444205.079,16094.271
587,1444221.722,16110.295
588,1444238.367,16127.035
589,1444255.000,16144.122
590,1444271.718,16161.127
591,1444288.359,16177.222
592,1444305.083,16193.929
593,1444321.737,16210.877
594,1444338.464,16227.101
595,1444355.150,16244.290
596,1444371.839,16260.986
597,1444388.476,16277.246
598,1444405.182,16293.860
599,1444421.778,16310.850
600,1444438.667,16327.837
601,1444455.167,16343.537
602,1444471.730,16360.398
603,1444488.527,16377.598
604,1444505.096,16393.585
605,1444521.780,16410.814
606,1444538.421,16427.808
607,1444555.149,16443.667
608,1444571.784,16460.513
609,1444588.534,16477.506
610,1444605.155,16493.686
611,1444621.888,16511.780
612,1444638.557,16527.464
613,1444655.213,16545.028
614,1444671.960,16560.388
615,1444688.612,16577.437
616,1444705.266,16595.078
617,1444722.006,16610.466
618,1444738.666,16627.323
619,1444755.304,16644.505
620,1444772.028,16661.421
621,1444788.672,16677.281
622,1444805.397,16694.679
623,1444822.124,16711.543
624,1444838.848,16727.388
625,1444855.471,16744.324
626,1444872.136,16761.407
627,1444888.778,16777.341
628,1444905.497,16794.160
629,1444922.146,16811.501
630,1444938.876,16827.266
631,1444955.601,16844.250
632,1444972.194,16861.060
633,1444988.927,16877.673
634,1445005.600,16894.840
635,1445022.434,16912.017
636,1445039.026,16927.632
637,1445055.686,16944.735
638,1445072.288,16960.668
639,1445089.011,16977.774
640,1445105.660,16994.502
641,1445122.381,17011.800
642,1445139.024,17027.564
643,1445155.748,17044.445
